site_code,monitor_time,ammonia_nitrogen
5,2015/12/1 0:00,1.05
5,2015/12/1 4:00,1.05
5,2015/12/1 8:00,1.01
5,2015/12/1 12:00,1.01
5,2015/12/1 16:00,1.01
5,2015/12/1 20:00,1.01
5,2015/12/2 0:00,1.01
5,2015/12/2 4:00,1.01
5,2015/12/2 8:00,1.01
5,2015/12/2 12:00,1.01
5,2015/12/2 16:00,1.01
5,2015/12/2 20:00,1.01
5,2015/12/3 0:00,1.01
5,2015/12/3 4:00,1.01
5,2015/12/3 8:00,1.01
5,2015/12/3 12:00,1.01
5,2015/12/3 16:00,1.01
5,2015/12/3 20:00,1.01
5,2015/12/4 0:00,1.01
5,2015/12/4 4:00,1.01
5,2015/12/4 8:00,1.01
5,2015/12/4 12:00,1.01
5,2015/12/4 16:00,1.01
5,2015/12/4 20:00,1.01
5,2015/12/5 0:00,1.01
5,2015/12/5 4:00,1.01
5,2015/12/5 8:00,1.01
5,2015/12/5 12:00,1.01
5,2015/12/5 16:00,1.01
5,2015/12/5 20:00,1.01
5,2015/12/6 0:00,1.01
5,2015/12/6 4:00,1.01
5,2015/12/6 8:00,1.01
5,2015/12/6 12:00,1.01
5,2015/12/6 16:00,1.01
5,2015/12/6 20:00,1.01
5,2015/12/7 0:00,1.01
5,2015/12/7 4:00,1.01
5,2015/12/7 8:00,1.01
5,2015/12/7 12:00,2.27
5,2015/12/7 16:00,1.32
5,2015/12/7 20:00,1.32
5,2015/12/8 0:00,1.19
5,2015/12/8 4:00,1.07
5,2015/12/8 8:00,0.99
5,2015/12/8 12:00,1.24
5,2015/12/8 16:00,1.24
5,2015/12/8 20:00,2.26
5,2015/12/9 0:00,0.93
5,2015/12/9 4:00,1.1
5,2015/12/9 8:00,1.63
5,2015/12/9 12:00,1.39
5,2015/12/9 16:00,1.41
5,2015/12/9 20:00,1.45
5,2015/12/10 0:00,2.09
5,2015/12/10 4:00,1.64
5,2015/12/10 8:00,1.56
5,2015/12/10 12:00,1.6
5,2015/12/10 16:00,1.57
5,2015/12/10 20:00,1.49
5,2015/12/11 0:00,1.39
5,2015/12/11 4:00,1.23
5,2015/12/11 8:00,1.25
5,2015/12/11 12:00,1.33
5,2015/12/11 16:00,1.1
5,2015/12/11 20:00,1.24
5,2015/12/12 0:00,1.07
5,2015/12/12 4:00,1.12
5,2015/12/12 8:00,1.2
5,2015/12/12 12:00,1.04
5,2015/12/12 16:00,1.17
5,2015/12/12 20:00,1.15
5,2015/12/13 0:00,1.15
5,2015/12/13 4:00,1.15
5,2015/12/13 8:00,1.2
5,2015/12/13 12:00,1.17
5,2015/12/13 16:00,1.16
5,2015/12/13 20:00,1.19
5,2015/12/14 0:00,1.25
5,2015/12/14 4:00,1.26
5,2015/12/14 8:00,1.15
5,2015/12/14 12:00,1.1
5,2015/12/14 16:00,0.93
5,2015/12/14 20:00,1.1
5,2015/12/15 0:00,0.94
5,2015/12/15 4:00,1.02
5,2015/12/15 8:00,1.08
5,2015/12/15 12:00,1.04
5,2015/12/15 16:00,0.91
5,2015/12/15 20:00,0.93
5,2015/12/16 0:00,1
5,2015/12/16 4:00,1
