,site_code,publish_time,province,city,PM2_5,SO2_1,NO2_1,CO_1,O3_1,PM10_1,PM2_5_1,wind_power_1,wind_direction_1,temperature_1,relative_humidity_1,precipitation_1,SO2_2,NO2_2,CO_2,O3_2,PM10_2,PM2_5_2,wind_power_2,wind_direction_2,temperature_2,relative_humidity_2,precipitation_2,SO2_3,NO2_3,CO_3,O3_3,PM10_3,PM2_5_3,wind_power_3,wind_direction_3,temperature_3,relative_humidity_3,precipitation_3,PM2_5_pred
556,1719A,2015-12-27 04:00:00,山东省,菏泽市,56,42,58,1.5490000000000002,8,129,69,1.5,201.0,1.0,67.5,0.0,32,58,6.879,5,700,448,2.0,146.5,0.0,85.5,0.0,56,99,7.007999999999999,5,723,520,1.5,357.5,1.5,89.5,0.0,96.50079
564,1719A,2015-12-27 12:00:00,山东省,菏泽市,41,69,57,2.04,45,214,120,1.5,306.0,9.5,44.0,0.0,55,55,3.033,51,320,224,5.5,248.0,9.0,41.5,0.0,37,83,6.105,28,617,402,3.5,331.5,2.5,86.5,0.0,83.164505
580,1719A,2015-12-28 04:00:00,山东省,菏泽市,82,31,20,1.347,30,115,56,6.0,8.5,0.0,76.5,0.0,42,58,1.5490000000000002,8,129,69,1.5,201.0,1.0,67.5,0.0,32,58,6.879,5,700,448,2.0,146.5,0.0,85.5,0.0,55.612164
588,1719A,2015-12-28 12:00:00,山东省,菏泽市,0,38,27,1.6980000000000002,31,95,41,5.5,8.5,0.5,66.5,0.0,69,57,2.04,45,214,120,1.5,306.0,9.5,44.0,0.0,55,55,3.033,51,320,224,5.5,248.0,9.0,41.5,0.0,56.43223
604,1719A,2015-12-29 04:00:00,山东省,菏泽市,103,61,43,1.917,5,153,82,0.0,276.5,-1.5,79.5,0.0,31,20,1.347,30,115,56,6.0,8.5,0.0,76.5,0.0,42,58,1.5490000000000002,8,129,69,1.5,201.0,1.0,67.5,0.0,145.35092
612,1719A,2015-12-29 12:00:00,山东省,菏泽市,98,50,25,2.619,80,0,0,1.5,220.5,2.5,53.0,0.0,38,27,1.6980000000000002,31,95,41,5.5,8.5,0.5,66.5,0.0,69,57,2.04,45,214,120,1.5,306.0,9.5,44.0,0.0,86.494415
628,1719A,2015-12-30 04:00:00,山东省,菏泽市,142,26,29,1.545,20,151,103,1.5,183.5,-2.0,87.5,0.0,61,43,1.917,5,153,82,0.0,276.5,-1.5,79.5,0.0,31,20,1.347,30,115,56,6.0,8.5,0.0,76.5,0.0,84.27757
636,1719A,2015-12-30 12:00:00,山东省,菏泽市,295,33,19,1.538,53,160,98,9.0,216.5,6.5,71.0,0.0,50,25,2.619,80,0,0,1.5,220.5,2.5,53.0,0.0,38,27,1.6980000000000002,31,95,41,5.5,8.5,0.5,66.5,0.0,111.909546
652,1719A,2015-12-31 04:00:00,山东省,菏泽市,105,56,58,2.873,9,226,142,1.0,307.0,0.5,88.5,0.0,26,29,1.545,20,151,103,1.5,183.5,-2.0,87.5,0.0,61,43,1.917,5,153,82,0.0,276.5,-1.5,79.5,0.0,166.9697
660,1719A,2015-12-31 12:00:00,山东省,菏泽市,123,73,65,3.674,50,458,295,1.5,12.0,5.0,58.0,0.0,33,19,1.538,53,160,98,9.0,216.5,6.5,71.0,0.0,50,25,2.619,80,0,0,1.5,220.5,2.5,53.0,0.0,58.105602
1228,1720A,2015-12-27 04:00:00,山东省,菏泽市,48,42,67,1.944,10,146,76,1.5,201.0,1.0,67.5,0.0,20,76,6.888,10,317,256,2.0,146.5,0.0,85.5,0.0,41,96,8.112,9,771,538,1.5,357.5,1.5,89.5,0.0,104.312164
